date,vix_index,credit_spread,yield_curve_slope,sp500_return,sp500_price,gdp_growth,unemployment_rate,is_crisis,crisis_severity,exposure_amount,collateral_value,cds_spread_x,total_assets,leverage_ratio,liquidity_ratio,roe,credit_rating,stock_price,cds_spread_y,amount,transaction_type,is_crisis_before_3m,crisis_severity_before_3m
2016-01-01,14.81,198.0,1.962,1.82,2036.39,2.26,5.76,0,0.25,2330071.2,1330453.55,94523.1,22905.7725,9.083,0.226388,0.09946680000000001,6.9568,90.48,179.0582,20315.39,collateral,0,2.0
2016-01-31,14.65,219.6,1.457,-0.4,2028.34,3.25,4.81,0,1.87,2272455.0,1311292.39,92593.7,22655.3505,9.070120000000001,0.225876,0.0993532,6.9642,91.22794,179.0636,21808.76,payment,0,2.0
2016-03-01,14.58,154.6,1.475,1.14,2051.57,2.93,5.09,0,1.67,2696526.98,1643394.82,91619.4,23290.5467,9.115219999999999,0.226518,0.0988168,6.9403999999999995,91.97528,183.00560000000002,23302.13,payment,0,2.0
2016-03-31,14.97,163.8,1.489,-0.09,2049.79,3.98,4.64,0,1.22,2536693.78,1493103.41,91066.7,23377.689080000004,9.02386,0.22604,0.09889679999999999,6.9876000000000005,92.73948,179.75039999999998,24795.5,repo,0,0.25
2016-04-30,15.11,150.8,1.505,0.95,2069.25,1.98,5.89,0,0.38,2031049.02,1289867.92,93061.1,23672.26882,9.056799999999999,0.226266,0.0991264,6.973,93.51994,182.4986,27201.7,derivative,0,1.87
2016-05-30,15.42,120.2,1.57,0.31,2075.7,3.7,5.57,0,0.27,2603931.74,1556472.29,89870.2,23449.141480000002,9.129620000000001,0.22477,0.100267,6.934,94.3517,184.3234,27258.968571428573,payment,0,1.67
2016-06-29,15.2,166.5,1.732,2.05,2118.25,2.66,4.03,0,1.76,2436507.52,1402477.26,93615.3,24063.01046,9.11348,0.22628,0.1005018,6.9414,95.17086,181.7202,27316.237142857142,payment,0,1.22
2016-07-29,15.22,216.7,1.317,0.72,2133.48,2.43,3.76,0,1.38,2405144.27,1333948.78,94434.4,23295.78282,9.00408,0.22595400000000002,0.0995618,6.9952,95.93932000000001,180.4292,27373.505714285715,payment,0,0.38
2016-08-28,15.48,151.4,1.262,0.3,2139.94,2.99,5.61,0,1.37,2549552.86,1642980.04,99140.0,24555.17774,9.05264,0.22598,0.0972094,6.9722,96.61458,180.3346,27430.774285714284,payment,0,0.27
2016-09-27,15.31,169.2,1.943,1.1,2163.58,2.02,5.24,0,1.39,2253221.49,1365868.22,94617.5,23651.09706,9.16286,0.22472,0.09820820000000001,6.9162,97.50682,182.8648,27488.042857142857,payment,0,1.76
2016-10-27,15.42,213.1,1.276,1.6,2198.29,2.15,5.42,0,1.42,2177163.26,1377443.32,91801.7,24386.13442,9.05806,0.226382,0.0987544,6.9704,98.393,179.6834,27545.311428571425,payment,0,1.38
2016-11-26,15.84,193.2,1.601,0.67,2212.97,3.27,4.58,0,1.22,2251135.89,1362699.94,96430.4,24532.5576,9.133280000000001,0.22479,0.0991306,6.9314,99.27717999999999,182.64939999999999,27602.579999999998,repo,0,1.37
2016-12-26,15.94,123.5,1.408,0.29,2219.31,2.21,5.76,0,1.18,2289392.15,1317579.3699999999,94274.6,24496.1452,9.076360000000001,0.22453800000000002,0.0980842,6.96,100.05302,181.2834,26319.65,payment,0,1.39
2017-01-25,16.1,173.1,1.355,0.3,2226.02,3.33,3.59,0,0.66,2389819.5,1468055.73,95784.0,24685.34616,9.06866,0.224268,0.0982172,6.964,100.9475,180.3208,21303.91,settlement,0,1.42
2017-02-24,16.0,215.0,1.803,0.25,2231.68,3.12,5.55,0,0.92,2077394.79,1270056.86,95495.3,24631.07876,9.048860000000001,0.225576,0.09938899999999999,6.9742,101.97988000000001,181.63920000000002,19974.01,settlement,0,1.22
2017-03-26,15.76,185.7,1.535,-0.94,2210.64,2.84,4.45,0,0.16,2513155.63,1516380.54,89382.7,25915.65396,9.09084,0.225302,0.1020778,6.9538,103.21644,182.04479999999998,21763.379999999997,payment,0,1.18
2017-04-25,15.62,215.2,1.728,0.64,2224.77,3.51,3.96,0,1.51,2912583.78,1669744.9,97256.9,26396.09114,9.071,0.225616,0.0998164,6.9642,103.86768,181.90820000000002,23552.75,payment,0,0.66
2017-05-25,15.8,192.2,1.348,-2.48,2169.68,2.74,4.89,0,1.64,2267517.7399999998,1372406.33,96594.5,25748.65154,9.12354,0.22461799999999998,0.09918940000000001,6.9386,104.72134,180.15439999999998,25342.12,repo,0,0.92
2017-06-24,16.13,182.9,1.443,-0.61,2156.47,2.97,4.27,0,0.28,2163749.2,1254485.67,92744.8,26301.832260000003,9.06972,0.226124,0.09760920000000001,6.964600000000001,105.43360000000001,179.52020000000002,25084.5,payment,0,0.16
2017-07-24,16.21,121.9,1.557,3.26,2226.88,3.92,4.69,0,0.17,2593325.3,1533918.77,93385.7,25969.2792,9.14262,0.224464,0.0991756,6.929600000000001,106.64136,182.49939999999998,24826.88,collateral,0,1.51
2017-08-23,16.06,161.5,1.595,-0.94,2205.86,2.59,5.35,0,0.54,1819791.42,1096533.01,91371.9,26324.35178,9.05668,0.22574,0.1004306,6.9684,107.85419999999999,181.4564,20372.61,payment,0,1.64
2017-09-22,15.9,123.0,-0.297,-0.41,2196.92,2.49,5.81,0,0.9,2384865.62,1482755.91,97211.1,27833.56084,9.00944,0.225356,0.100573,6.9932,108.92766,177.5072,21062.974000000002,payment,0,0.28
2017-10-22,16.06,124.6,-0.023,-0.86,2178.1,2.64,4.25,0,0.26,2985836.72,1757669.07,97396.6,27210.74346,9.072239999999999,0.224472,0.0988752,6.9622,109.66016,180.8176,21753.338,payment,0,0.17
2017-11-21,16.29,216.8,-0.207,0.73,2193.95,1.98,3.67,0,1.44,2523094.85,1509704.46,94058.0,27355.87388,9.05686,0.225594,0.101875,6.9706,111.20268,182.0254,22443.702,payment,0,0.54
2017-12-21,16.53,220.7,-0.084,-0.75,2177.44,3.14,4.47,0,0.69,2460877.47,1483785.3699999999,94187.0,27676.34498,9.07202,0.22511599999999998,0.1002802,6.9622,111.9273,182.7748,23134.066,payment,0,0.9
2018-01-20,17.56,305.8,0.828,-0.5,2166.57,-3.74,10.0,1,6.75,1139732.3499999999,671784.05,88536.5,28440.79262,21.382060000000003,0.075196,-0.09855119999999999,1.496,61.5216,1283.5282,23824.43,repo,0,0.26
